dataset,category,ratio_name,ratio_value,status,qps_num,recall_num,time_num_ms,qps_den,recall_den,time_den_ms
Tiktok,Threads=10,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",661.7652,0.9092,1511.1100,,,
Tiktok,Threads=10,SmartRoute/ACORN-gamma-improved,inf,"Infinity (Num>=0.9, Den Failed)",661.7652,0.9092,1511.1100,,,
Tiktok,Threads=10,SmartRoute/UNG,2.2211,OK (Recall>=0.9),661.7652,0.9092,1511.1100,297.9445,0.9041,3356.3300
Music,Mixed,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",1886.5540,0.9084,530.0670,,,
Music,Mixed,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",1886.5540,0.9084,530.0670,,,
Music,Mixed,SmartRoute/ACORN-gamma-improved,inf,"Infinity (Num>=0.9, Den Failed)",1886.5540,0.9084,530.0670,,,
Music,Mixed,SmartRoute/UNG,16.8299,OK (Recall>=0.9),1886.5540,0.9084,530.0670,112.0952,0.9020,8920.9900
Music,Small Length,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",1237.4706,0.9056,404.0500,,,
Music,Small Length,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",1237.4706,0.9056,404.0500,,,
Music,Small Length,SmartRoute/ACORN-gamma-improved,inf,"Infinity (Num>=0.9, Den Failed)",1237.4706,0.9056,404.0500,,,
Music,Small Length,SmartRoute/UNG,22.4743,OK (Recall>=0.9),1237.4706,0.9056,404.0500,55.0615,0.9002,9080.7600
Music,Large Length,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",2426.7015,0.9062,206.0410,,,
Music,Large Length,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",2426.7015,0.9062,206.0410,,,
Music,Large Length,SmartRoute/ACORN-gamma-improved,inf,"Infinity (Num>=0.9, Den Failed)",2426.7015,0.9062,206.0410,,,
Music,Large Length,SmartRoute/UNG,1.3228,OK (Recall>=0.9),2426.7015,0.9062,206.0410,1834.5325,0.9006,272.5490
Music,Small p_pass,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",3875.5784,0.9494,129.0130,,,
Music,Small p_pass,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",3875.5784,0.9494,129.0130,,,
Music,Small p_pass,SmartRoute/ACORN-gamma-improved,inf,"Infinity (Num>=0.9, Den Failed)",3875.5784,0.9494,129.0130,,,
Music,Small p_pass,SmartRoute/UNG,1.3445,OK (Recall>=0.9),3875.5784,0.9494,129.0130,2882.4757,0.9494,173.4620
Music,Large p_pass,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",968.6637,0.9096,516.1750,,,
Music,Large p_pass,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",968.6637,0.9096,516.1750,,,
Music,Large p_pass,SmartRoute/ACORN-gamma-improved,inf,"Infinity (Num>=0.9, Den Failed)",968.6637,0.9096,516.1750,,,
Music,Large p_pass,SmartRoute/UNG,inf,"Infinity (Num>=0.9, Den Failed)",968.6637,0.9096,516.1750,,,
Music,Threads=10,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",460.0557,0.9088,2173.6500,,,
Music,Threads=10,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",460.0557,0.9088,2173.6500,,,
Music,Threads=10,SmartRoute/ACORN-gamma-improved,inf,"Infinity (Num>=0.9, Den Failed)",460.0557,0.9088,2173.6500,,,
Music,Threads=10,SmartRoute/UNG,8.4994,OK (Recall>=0.9),460.0557,0.9088,2173.6500,54.1278,0.9019,18474.8000
Laion,Mixed,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",1101.3228,0.9004,907.9990,,,
Laion,Mixed,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",1101.3228,0.9004,907.9990,,,
Laion,Mixed,SmartRoute/ACORN-gamma-improved,8.3906,OK (Recall>=0.9),1101.3228,0.9004,907.9990,131.2574,0.9032,7618.6200
Laion,Mixed,SmartRoute/UNG,inf,"Infinity (Num>=0.9, Den Failed)",1101.3228,0.9004,907.9990,,,
Laion,Small Length,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",1101.3228,0.9004,907.9990,,,
Laion,Small Length,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",1101.3228,0.9004,907.9990,,,
Laion,Small Length,SmartRoute/ACORN-gamma-improved,8.3906,OK (Recall>=0.9),1101.3228,0.9004,907.9990,131.2574,0.9032,7618.6200
Laion,Small Length,SmartRoute/UNG,inf,"Infinity (Num>=0.9, Den Failed)",1101.3228,0.9004,907.9990,,,
Laion,Large Length,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",1101.3228,0.9004,907.9990,,,
Laion,Large Length,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",1101.3228,0.9004,907.9990,,,
Laion,Large Length,SmartRoute/ACORN-gamma-improved,8.3906,OK (Recall>=0.9),1101.3228,0.9004,907.9990,131.2574,0.9032,7618.6200
Laion,Large Length,SmartRoute/UNG,inf,"Infinity (Num>=0.9, Den Failed)",1101.3228,0.9004,907.9990,,,
Laion,Small p_pass,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",1101.3228,0.9004,907.9990,,,
Laion,Small p_pass,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",1101.3228,0.9004,907.9990,,,
Laion,Small p_pass,SmartRoute/ACORN-gamma-improved,8.3906,OK (Recall>=0.9),1101.3228,0.9004,907.9990,131.2574,0.9032,7618.6200
Laion,Small p_pass,SmartRoute/UNG,inf,"Infinity (Num>=0.9, Den Failed)",1101.3228,0.9004,907.9990,,,
Laion,Large p_pass,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",1101.3228,0.9004,907.9990,,,
Laion,Large p_pass,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",1101.3228,0.9004,907.9990,,,
